#,formula,activity,Syngony,"length, nm","width, nm","depth, nm",surface,pol,surf,"Mw(coat), g/mol","Km, mM","Vmax, mM/s",ReactionType,"C min, mM","C max, mM","C(const), mM",Ccat(mg/mL),ph,"temp, °C",Zpotential,"SurfaceArea, m^2/g ",link,,,,,
35,CdCo2O4,peroxidase,7,250,50,50,naked,poly(ethylene oxide),0,200.00,0.3250,0.000037500,H2O2 + TMB,0.1000,3.0000,8.000,0.2000000,4,35,,72,https://doi.org/10.1007/s00604-020-04298-4,,,,,
36,CuWO4,peroxidase,1,66,66,66,naked,0,0,0.00,0.2000,0.004720000,TMB + H2O2,0.0100,0.6200,4.700,1.0000000,3,28,,,https://doi.org/10.1016/j.snb.2017.06.175,,,,,
37,CuWO4,peroxidase,1,66,66,66,naked,0,0,0.00,0.3800,0.000113000,H2O2 + TMB,0.2000,2.1000,0.240,1.0000000,3,28,,,https://doi.org/10.1016/j.snb.2017.06.175,,,,,
38,FeWO4,peroxidase,2,5000,5000,1600,naked,0,0,0.00,1.1800,0.000114800,TMB + H2O2,0.0200,0.6000,370.000,0.0380000,3,40,,,https://doi.org/10.1021/ie504114v,,,,,
39,FeWO4,peroxidase,2,5000,5000,1600,naked,0,0,0.00,0.5900,0.000021800,H2O2 + TMB,0.2000,10.0000,0.190,0.0380000,3,40,,,https://doi.org/10.1021/ie504114v,,,,,
40,Co2V2O7,peroxidase,2,250,250,250,naked,0,0,0.00,0.3110,0.000025800,TMB + H2O2,0.0500,0.4000,8.000,0.0300000,5,30,,,https://doi.org/10.1021/acsabm.9b01107,,,,,
41,Co2V2O7,peroxidase,2,250,250,250,naked,0,0,0.00,0.6690,0.000012500,H2O2 + TMB,0.5000,7.0000,0.500,0.0300000,5,30,,,https://doi.org/10.1021/acsabm.9b01107,,,,,
42,FeVO4,peroxidase,3,2000,100,100,naked,0,0,0.00,0.6910,0.000025100,TMB + H2O2,0.1000,0.8000,10.000,0.1000000,4,25,,67.97,https://doi.org/10.1016/j.snb.2016.04.041,,,,,
43,FeVO4,peroxidase,3,2000,100,100,naked,0,0,0.00,0.0732,0.000027200,H2O2 + TMB,10.0000,250.0000,0.800,0.1000000,4,25,,67.97,https://doi.org/10.1016/j.snb.2016.04.041,,,,,
44,AgVO3,peroxidase,2,2000,500,500,naked,0,0,0.00,0.3330,no,TMB + H2O2,0.0500,1.0000,0.600,0.0200000,4,25,,,https://doi.org/10.1007/s00604-017-2562-z,,,,,
45,AgVO3,peroxidase,2,2000,500,500,naked,0,0,0.00,1.3000,no,H2O2 + TMB,0.0500,1.0000,0.400,0.0200000,4,25,,,https://doi.org/10.1007/s00604-017-2562-z,,,,,
46,AgVO3,peroxidase,2,800,54,54,naked,0,0,0.00,0.0412,no,TMB + H2O2,0.0100,0.3000,8.000,0.0045000,4,25,,,https://doi.org/10.1002/jccs.201700031,,,,,
47,AgVO3,peroxidase,2,800,54,54,naked,0,0,0.00,5.2910,no,H2O2 + TMB,1.0000,50.0000,0.100,0.0045000,4,25,,,https://doi.org/10.1002/jccs.201700031,,,,,
48,CoMoO4,peroxidase,2,5000,300,300,naked,0,0,0.00,0.0770,0.000510500,TMB + H2O2,0.1000,0.8000,20.000,0.0150000,4,25,-12.56,61.56,https://doi.org/10.1007/s00604-020-04376-7,,,,,
49,AgVO3,peroxidase,2,1500,100,100,naked,0,0,0.00,8.0300,no,TMB + H2O2,0.6000,1.6000,10.000,0.3000000,5,25,,,https://doi.org/10.1007/s00604-015-1670-x,,,,,
50,AgVO3,peroxidase,2,1500,100,100,naked,0,0,0.00,14.0000,no,H2O2 + TMB,1.0000,50.0000,0.800,0.3000000,5,25,,,https://doi.org/10.1007/s00604-015-1670-x,,,,,
51,CoMoO4,peroxidase,2,5000,300,300,naked,0,0,0.00,1.1150,0.000116200,H2O2 + TMB,1.0000,50.0000,8.000,0.0150000,4,25,-12.56,61.56,https://doi.org/10.1007/s00604-020-04376-7,,,,,
52,CuMnO2,peroxidase,2,100,100,1.6,naked,0,0,0.00,0.5770,0.000081500,TMB + H2O2,0.1000,1.5000,100.000,0.0100000,4.5,25,,,https://doi.org/10.1016/j.snb.2018.09.120,,,,,
53,CuMnO2,peroxidase,2,100,100,1.6,naked,0,0,0.00,27.6530,0.000276500,H2O2 + TMB,1.0000,200.0000,500.000,0.0100000,4.5,25,,,https://doi.org/10.1016/j.snb.2018.09.120,,,,,
54,Cu0.89Zn0.11O,peroxidase,5,7.5,7.5,7.5,naked,0,0,0.00,10.0000,0.000028770,TMB + H2O2,0.2000,10.0000,200.000,0.1000000,4.65,25,,,https://doi.org/10.1021/acsami.6b05354,,,,,
55,Cu0.89Zn0.11O,peroxidase,5,7.5,7.5,7.5,naked,0,0,0.00,71.0000,0.000003000,H2O2 + TMB,10.0000,100.0000,10.000,0.1000000,4.65,25,,,https://doi.org/10.1021/acsami.6b05354,,,,,
56,Fe2(MoO4)3,peroxidase,3,2000,200,200,naked,0,0,0.00,1.1260,0.000037300,TMB + H2O2,0.1000,0.8000,10.000,0.3000000,4,25,-12.33,67.95,https://doi.org/10.1007/s00604-016-1955-8,,,,,
57,Fe2(MoO4)3,peroxidase,3,2000,200,200,naked,0,0,0.00,0.1060,0.000075100,H2O2 + TMB,2.0000,50.0000,8.000,0.3000000,4,25,-12.33,67.95,https://doi.org/10.1007/s00604-016-1955-8,,,,,
58,(CeO2)0.10/CoO,peroxidase,7,600,600,600,naked,0,0,0.00,0.2450,0.000147800,H2O2 + TMB,0.1000,1.0000,0.020,0.0300000,5,25,30,158.25,https://doi.org/10.1021/acssuschemeng.0c06920,,,,,
59,(CeO2)0.10/CoO,peroxidase,7,600,600,600,naked,0,0,0.00,0.1330,0.001101000,TMB + H2O2,0.0200,0.2000,20.000,0.0300000,5,25,30,158.25,https://doi.org/10.1021/acssuschemeng.0c06920,,,,,
60,CoO/CeO2,peroxidase,7,1500,100,100,naked,0,0,0.00,1.8100,0.000027000,TMB + H2O2,0.3000,3.0000,0.100,0.0833333,3.6,25,,197.2,https://doi.org/10.1016/j.apmt.2019.03.009,,,,,
61,CoO/CeO2,peroxidase,7,1500,100,100,naked,0,0,0.00,0.0210,0.000028000,H2O2 + TMB,0.0100,0.1300,3.000,0.0833333,3.6,25,,197.2,https://doi.org/10.1016/j.apmt.2019.03.009,,,,,
62,Co3O4/CeO2,peroxidase,7,2000,200,200,naked,poly(N-Vinylpyrrolidone),0,,0.3600,0.000166600,TMB + H2O2,1.0000,3.0000,1.200,3.0000000,6,30,,,https://doi.org/10.1016/j.snb.2019.01.068,,,,,
63,Co3O4/CeO2,peroxidase,7,1003,103,103,naked,poly(N-Vinylpyrrolidone),0,,132.2100,0.000043400,H2O2 + TMB,50.0000,500.0000,0.800,3.0000000,6,30,,,https://doi.org/10.1016/j.snb.2019.01.068,,,,,
64,Fe3O4@CeO2,peroxidase,7,630,630,630,naked,0,0,0.00,0.1500,0.000006400,TMB + H2O2,0.0500,1.0000,50.000,0.1662434,3.5,40,,38.4,https://doi.org/10.1016/j.jtice.2017.12.011,,,,,
65,Fe3O4@CeO2,peroxidase,7,630,630,630,naked,0,0,0.00,1.1300,0.000125000,H2O2 + TMB,0.5000,4.0000,100.000,0.1662434,3.5,40,,38.4,https://doi.org/10.1016/j.jtice.2017.12.011,,,,,
66,Pd/CeO2,peroxidase,7,59,27,27,naked,0,0,0.00,0.3900,0.000059400,TMB + H2O2,0.0100,1.0000,327.000,0.0016700,4,30,,,https://doi.org/10.1007/s10853-018-2657-x,,,,,
67,Pd/CeO2,peroxidase,7,59,27,27,naked,0,0,0.00,9.4300,0.000019100,H2O2 + TMB,0.0010,1 000.0000,0.167,0.0016700,4,30,,,https://doi.org/10.1007/s10853-018-2657-x,,,,,
68,Ce-Fe3O4,peroxidase,7,15,15,15,naked,0,0,0.00,0.0180,0.000012500,TMB + H2O2,0.0050,0.3000,0.400,0.0150000,4,25,,,https://doi.org/10.1039/C7AY00750G,,,,,
69,Ce-Fe3O4,peroxidase,7,15,15,15,naked,0,0,0.00,6.9420,0.000500000,H2O2 + TMB,0.0050,0.4000,0.200,0.0150000,4,25,,,https://doi.org/10.1039/C7AY00750G,,,,,
70,Fe3O4-MnO2,peroxidase,4,2000,2000,2000,naked,0,0,0.00,0.1010,0.000005700,TMB + H2O2,0.0500,0.3000,20.000,0.1662434,4,40,,76.75,https://doi.org/10.1016/j.procbio.2019.05.014,,,,,
71,Fe3O4-MnO2,peroxidase,4,2000,2000,2000,naked,0,0,0.00,0.0410,0.000029400,H2O2 + TMB,0.0010,1.0000,0.300,0.1662434,4,40,,76.75,https://doi.org/10.1016/j.procbio.2019.05.014,,,,,
72,Pt-WO2.72,peroxidase,2,30,17,17,naked,0,0,0.00,0.1050,no,TMB + H2O2,0.3000,0.3000,20.000,0.0050000,4,40,,,https://doi.org/10.1007/s00216-019-02268-1,,,,,
73,Pt-WO2.72,peroxidase,2,30,17,17,naked,0,0,0.00,8.4500,no,H2O2 + TMB,20.0000,20.0000,0.300,0.0050000,4,40,,,https://doi.org/10.1007/s00216-019-02268-1,,,,,
74,Fe3O4,peroxidase,7,15,15,15,naked,0,0,0.00,0.1070,0.000036200,TMB + H2O2,0.0050,0.3000,0.400,0.0150000,4,25,,,https://doi.org/10.1039/C7AY00750G,,,,,
75,Fe3O4,peroxidase,7,15,15,15,naked,0,0,0.00,155.0000,0.000091100,H2O2 + TMB,0.0050,0.4000,0.200,0.0150000,4,25,,,https://doi.org/10.1039/C7AY00750G,,,,,
76,Fe3O4,peroxidase,7,169.1,169.1,169.1,naked,0,0,0.00,0.2300,no,TMB + H2O2,0.8160,0.8160,530.000,#REF!,4,25,,34.5,https://doi.org/10.1002/chem.201001789,,,,,
77,Fe3O4,peroxidase,7,215.7,185,185,naked,0,0,0.00,0.4600,no,TMB + H2O2,0.8160,0.8160,530.000,#REF!,4,25,,11.7,https://doi.org/10.1002/chem.201001789,,,,,
78,Fe3O4,peroxidase,7,222.8,222.8,222.8,naked,0,0,0.00,0.5800,no,TMB + H2O2,0.8160,0.8160,530.000,#REF!,4,25,,9.1,https://doi.org/10.1002/chem.201001789,,,,,
79,Fe3O4,peroxidase,7,246.6,246.6,246.6,naked,0,0,0.00,3.8900,0.000149300,TMB + H2O2,0.0500,0.3000,20.000,0.1662434,4,40,,20.82,https://doi.org/10.1016/j.procbio.2019.05.014,,,,,
80,Fe3O4,peroxidase,7,246.6,246.6,246.6,naked,0,0,0.00,2.4600,0.000096200,H2O2 + TMB,0.0010,1.0000,0.300,0.1662434,4,40,,20.82,https://doi.org/10.1016/j.procbio.2019.05.014,,,,,
81,MnO2,peroxidase,4,2000,2000,2000,naked,0,0,0.00,1.4100,0.000039600,TMB + H2O2,0.0500,0.3000,20.000,0.1662434,4,40,,33.76,https://doi.org/10.1016/j.procbio.2019.05.014,,,,,
82,MnO2,peroxidase,4,2000,2000,2000,naked,0,0,0.00,1.3400,0.000077500,H2O2 + TMB,0.0010,1.0000,0.300,0.1662434,4,40,,33.76,https://doi.org/10.1016/j.procbio.2019.05.014,,,,,
83,CuO,peroxidase,2,5,5,5,naked,0,0,0.00,25.0000,0.000104900,TMB + H2O2,0.2000,10.0000,200.000,0.1000000,4.65,37,,,https://doi.org/10.1021/acsami.6b05354,,,,,
84,CuO,peroxidase,2,5,5,5,naked,0,0,0.00,400.0000,0.000161000,H2O2 + TMB,10.0000,100.0000,10.000,0.1000000,4.65,37,,,https://doi.org/10.1021/acsami.6b05354,,,,,
85,GeO2,peroxidase,4,1000,100,100,naked,0,0,0.00,0.4200,0.000233970,TMB + H2O2,0.0010,1.0000,4.000,0.1000000,4,37,,,https://doi.org/10.1002/adfm.202001933,,,,,
86,GeO2,peroxidase,4,1000,100,100,naked,0,0,0.00,1.7500,0.000234000,H2O2 + TMB,0.0010,4.0000,1.000,0.1000000,4,37,,,https://doi.org/10.1002/adfm.202001933,,,,,
87,MoO2,peroxidase,2,44.6,20.8,20.8,naked,0,0,0.00,0.0140,0.000004100,H2O2 + TMB,0.0100,0.1200,0.020,0.0256000,4,25,,,https://doi.org/10.1016/j.saa.2019.117412,,,,,
88,MoO2,peroxidase,2,44.6,20.8,20.8,naked,0,0,0.00,8.8500,0.000052000,TMB + H2O2,0.2000,1.7000,0.800,0.0256000,4,25,,,https://doi.org/10.1016/j.saa.2019.117412,,,,,
89,WO3,peroxidase,4,30,6,6,naked,0,0,0.00,10.6000,0.000015300,TMB + H2O2,0.2000,1.4000,0.060,0.0016000,2,25,-28.4,,https://doi.org/10.1016/j.talanta.2019.06.003,,,,,
90,WO3,peroxidase,4,30,6,6,naked,0,0,0.00,1260.0000,0.000030000,H2O2 + TMB,0.0200,0.1400,1.400,0.0016000,2,25,-28.4,,https://doi.org/10.1016/j.talanta.2019.06.003,,,,,
91,WO2.92,peroxidase,7,1.33,1.33,1.33,naked,0,0,0.00,0.7900,no,ABTS + H2O2,0.0010,4.0000,4.000,0.3500000,6,37,,,https://doi.org/10.1016/j.aca.2017.09.011,,,,,
92,WO2.92,peroxidase,7,1.33,1.33,1.33,naked,0,0,0.00,1.2600,no,H2O2 + TMB,0.0010,6.0000,0.800,0.3500000,6,37,,,https://doi.org/10.1016/j.aca.2017.09.011,,,,,
93,W18O49,peroxidase,2,100,100,100,naked,0,0,0.00,0.0030,0.001240000,TMB + H2O2,0.0250,0.8000,50.000,0.0500000,4,35,,136.13,https://doi.org/10.1007/s11051-018-4271-x,,,,,
94,W18O49,peroxidase,2,100,100,100,naked,0,0,0.00,8.7340,0.001220000,H2O2 + TMB,3.2500,200.0000,0.600,0.0500000,4,35,,136.13,https://doi.org/10.1007/s11051-018-4271-x,,,,,
95,Au,peroxidase,7,14,14,14,naked,0,citric acid,192.12,0.2000,0.000055900,TMB + H2O2,0.5840,0.5840,373.000,0.0478000,3.6,25,,,https://doi.org/10.1166/jnn.2018.13977,,,,,
96,Au,peroxidase,7,14,14,14,naked,0,citric acid,192.12,572.9800,0.000097700,H2O2 + TMB,373.0000,373.0000,0.584,0.0478000,3.6,25,,,https://doi.org/10.1166/jnn.2018.13977,,,,,
97,Au,peroxidase,7,14,14,14,naked,0,0,0.00,92.3000,0.000031100,ABTS + H2O2,0.5840,0.5840,373.000,0.0478000,3.6,25,,,https://doi.org/10.1166/jnn.2018.13977,,,,,
98,Au,peroxidase,7,14,14,14,naked,0,0,0.00,546.6000,0.000050400,H2O2 + TMB,373.0000,373.0000,0.584,0.0478000,3.6,25,,,https://doi.org/10.1166/jnn.2018.13977,,,,,
99,Fe2O3,peroxidase,7,14.5,14.5,14.5,naked,0,0,0.00,0.2980,0.000073600,TMB + H2O2,0.0100,1.0000,700.000,0.0050000,3.5,25,10,125,https://doi.org/10.1039/C8TB01132J,,,,,
100,Fe2O3,peroxidase,7,14.5,14.5,14.5,naked,0,0,0.00,146.7000,0.000063700,H2O2 + TMB,10.0000,1 000.0000,0.800,0.0050000,3.5,25,10,125,https://doi.org/10.1039/C8TB01132J,,,,,
101,Fe2O3,peroxidase,7,12.3,13.3,14.3,naked,0,0,0.00,0.0997,0.000520000,TMB + H2O2,0.0200,1.1000,500.000,0.0625000,3.5,25,10,125,https://doi.org/10.1039/C9TB00989B,,,,,
102,Fe2O3,peroxidase,7,12.3,13.3,14.3,naked,0,0,0.00,144.3000,0.000018400,H2O2 + TMB,0.1000,700.0000,0.700,0.0625000,3.5,25,10,125,https://doi.org/10.1039/C9TB00989B,,,,,
103,Fe2O3,peroxidase,5,11.7,12.7,13.7,naked,0,0,0.00,0.5304,0.000054300,TMB + H2O2,0.0300,1.2000,500.000,0.0625000,3.5,25,,144,https://doi.org/10.1039/C9TB00989B,,,,,
104,Fe2O3,peroxidase,5,11.7,12.7,13.7,naked,0,0,0.00,127.9200,0.000037700,H2O2 + TMB,0.1000,700.0000,0.700,0.0625000,3.5,25,,144,https://doi.org/10.1039/C9TB00989B,,,,,
105,Fe2O3,peroxidase,5,110,110,110,naked,0,0,0.00,0.7680,0.000005000,TMB + H2O2,0.2000,5.0000,880.000,0.0047900,4,37,,43,https://doi.org/10.1039/C1CY00124H,,,,,
106,Fe2O3,peroxidase,5,100,100,100,naked,0,0,0.00,0.9570,0.000006300,TMB + H2O2,0.2000,5.0000,880.000,0.0047900,4,37,,47,https://doi.org/10.1039/C1CY00124H,,,,,
107,Fe2O3,peroxidase,5,380,31,31,naked,0,0,0.00,0.2570,0.000016500,TMB + H2O2,0.2000,5.0000,880.000,0.0047900,4,37,,55,https://doi.org/10.1039/C1CY00124H,,,,,
108,Fe2O3,peroxidase,5,330,30,30,naked,0,0,0.00,0.3170,0.000015300,TMB + H2O2,0.2000,5.0000,880.000,0.0047900,4,37,,82,https://doi.org/10.1039/C1CY00124H,,,,,
109,Fe2O3,peroxidase,5,278,30,30,naked,0,0,0.00,0.5180,0.000010600,TMB + H2O2,0.2000,5.0000,880.000,0.0047900,4,37,,111,https://doi.org/10.1039/C1CY00124H,,,,,
110,Fe3O4,peroxidase,7,300,300,300,naked,0,0,0.00,0.0980,0.000034400,TMB + H2O2,0.0500,0.8000,530.000,0.0400000,3.5,40,,53.99,https://doi.org/10.1038/nnano.2007.260,,,,,
111,Fe3O4,peroxidase,7,300,300,300,naked,0,0,0.00,154.0000,0.000097800,H2O2 + TMB,1.0000,2 260.0000,0.816,0.0400000,3.5,40,,53.99,https://doi.org/10.1038/nnano.2007.260,,,,,
112,Fe3O4,peroxidase,7,13,13,13,naked,0,0,0.00,0.3740,0.000026000,TMB + H2O2,0.1000,2.0000,250.000,0.0300000,7.4,30,,53.99,https://doi.org/10.1016/j.colsurfb.2017.02.004,,,,,
113,Fe3O4,peroxidase,7,13,13,13,naked,0,0,0.00,54.6000,0.000018000,H2O2 + TMB,1.0000,600.0000,1.000,0.0300000,7.4,30,,53.99,https://doi.org/10.1016/j.colsurfb.2017.02.004,,,,,
114,Fe3O4,peroxidase,7,500,500,500,naked,0,0,0.00,0.2600,0.000003510,TMB + H2O2,0.0100,0.8000,10.000,0.0500000,4,25,,53.99,https://doi.org/10.1021/acs.analchem.9b04116,,,,,
115,Fe3O4,peroxidase,7,500,500,500,naked,0,0,0.00,6.6600,0.000001290,H2O2 + TMB,0.0010,200.0000,0.500,0.0500000,4,25,,53.99,https://doi.org/10.1021/acs.analchem.9b04116,,,,,
116,Fe3O4,peroxidase,7,30,30,30,naked,0,0,0.00,0.2950,0.000007200,TMB + H2O2,0.0500,1.0000,10.000,0.0500000,4,25,,,https://doi.org/10.1021/jacs.7b00601,,,,,
117,Fe3O4,peroxidase,7,30,30,30,naked,0,0,0.00,0.2700,0.000035000,ABTS + H2O2,0.0500,1.0000,10.000,0.0500000,4,25,,,https://doi.org/10.1021/jacs.7b00601,,,,,
118,Fe3O4,peroxidase,7,8.1,8.1,8.1,naked,0,0,0.00,0.2330,0.000176000,TMB + H2O2,0.0100,1.7000,663.800,0.0013200,3.6,25,39.31,,https://doi.org/10.1021/am405009f,,,,,
119,Fe3O4,peroxidase,7,8.1,8.1,8.1,naked,0,0,0.00,479.9100,0.000275000,H2O2 + TMB,0.0010,700.0000,1.653,0.0013200,3.6,25,39.31,,https://doi.org/10.1021/am405009f,,,,,
120,Co3O4,peroxidase,7,7.2,7.2,7.2,naked,0,0,0.00,0.1030,0.000256000,TMB + H2O2,0.0100,1.7000,663.800,0.0013200,3.6,25,34.25,,https://doi.org/10.1021/am405009f,,,,,
